"Date","Open","High","Low","Close"
"17 Nov 2022","8702.25","8718.80","8670.60","8683.45"
"16 Nov 2022","8738.45","8746.65","8688.75","8719.70"
"15 Nov 2022","8727.95","8744.70","8690.50","8736.50"
"14 Nov 2022","8724.45","8729.95","8699.80","8712.05"
"11 Nov 2022","8704.35","8718.50","8691.35","8711.15"
"10 Nov 2022","8626.05","8644.20","8566.45","8596.90"
"09 Nov 2022","8733.95","8735.00","8650.45","8668.15"
"07 Nov 2022","8693.00","8713.10","8635.20","8695.15"
"04 Nov 2022","8627.65","8654.35","8605.90","8648.15"
"03 Nov 2022","8577.45","8639.65","8574.00","8620.80"
"02 Nov 2022","8660.8","8661.2","8611.95","8626.90"
"01 Nov 2022","8631.4","8652.15","8605.35","8647.40"
"31 Oct 2022","8536.30","8590.30","8533.25","8585.25"
"28 Oct 2022","8500.15","8513.25","8458.15","8485.40"
"27 Oct 2022","8489.80","8503.90","8448.40","8488.00"
"25 Oct 2022","8491.95","8493.15","8432.50","8440.55"
"24 Oct 2022","8476.85","8489.60","8452.15","8462.90"
"21 Oct 2022","8442.50","8454.65","8371.90","8396.40"
"20 Oct 2022","8353.85","8424.55","8342.70","8415.60"
"19 Oct 2022","8421.20","8439.45","8376.30","8392.20"
"18 Oct 2022","8359.40","8394.55","8358.40","8385.60"
"17 Oct 2022","8235.20","8309.95","8198.45","8301.95"
"14 Oct 2022","8344.65","8350.70","8246.15","8252.60"
"13 Oct 2022","8251.55","8263.50","8180.40","8206.70"
"12 Oct 2022","8225.70","8269.65","8176.10","8261.35"
"11 Oct 2022","8348.10","8349.35","8187.05","8203.50"
"10 Oct 2022","8279.00","8352.30","8257.35","8331.45"
"07 Oct 2022","8373.30","8387.60","8325.85","8378.10"
"06 Oct 2022","8389.15","8421.20","8379.45","8385.15"
"04 Oct 2022","8280.80","8339.65","8271.95","8334.30"
"03 Oct 2022","8262.05","8274.85","8123.65","8152.60"
"30 Sep 2022","8123","8286.1","8083.7","8257.70"
"29 Sep 2022","8212.00","8232.00","8111.55","8131.50"
"28 Sep 2022","8138.55","8222.95","8116.00","8140.10"
"27 Sep 2022","8242.4","8281.2","8156.9","8199.65"
"26 Sep 2022","8307.9","8316.1","8166.45","8197.70"
"23 Sep 2022","8535.85","8555.70","8372.45","8386.00"
"22 Sep 2022","8511.90","8569.25","8479.30","8541.05"
"21 Sep 2022","8604.25","8641.65","8531.10","8553.80"
"20 Sep 2022","8590.65","8664.10","8583.45","8615.10"
"19 Sep 2022","8502.65","8549.00","8429.35","8518.10"
"16 Sep 2022","8650.20","8657.05","8463.90","8490.45"
"15 Sep 2022","8735.80","8757.55","8657.20","8677.85"
"14 Sep 2022","8588.45","8735.70","8588.45","8704.25"
"13 Sep 2022","8724.45","8734.65","8706.20","8725.20"
"12 Sep 2022","8644.65","8687.20","8643.45","8674.20"
"09 Sep 2022","8658.30","8658.90","8589.65","8612.25"
"08 Sep 2022","8593.60","8603.95","8557.80","8598.65"
"07 Sep 2022","8476.00","8539.20","8463.50","8531.40"
"06 Sep 2022","8542.60","8568.60","8489.90","8526.00"
"05 Sep 2022","8475.45","8526.30","8473.15","8516.50"
"02 Sep 2022","8503.05","8521.20","8453.70","8463.30"
"01 Sep 2022","8427.80","8521.55","8427.15","8468.25"
"30 Aug 2022","8388.35","8534.55","8385.05","8527.15"
"29 Aug 2022","8234.20","8357.00","8232.10","8333.00"
"26 Aug 2022","8450.20","8481.20","8411.55","8428.80"
"25 Aug 2022","8461.30","8486.30","8387.80","8401.90"
"24 Aug 2022","8379.20","8429.45","8366.15","8422.80"
"23 Aug 2022","8280.30","8414.50","8276.45","8393.75"
"22 Aug 2022","8444.00","8445.65","8331.85","8343.45"
"19 Aug 2022","8577.65","8588.55","8455.90","8473.10"
"18 Aug 2022","8537.90","8571.20","8521.85","8565.20"
"17 Aug 2022","8520.25","8561.00","8510.25","8550.15"
"16 Aug 2022","8463.20","8498.85","8452.85","8495.00"
"12 Aug 2022","8397.10","8430.10","8373.90","8417.80"
"11 Aug 2022","8409.55","8413.45","8378.75","8392.35"
"10 Aug 2022","8359.55","8359.55","8296.25","8333.10"
"08 Aug 2022","8292.60","8346.70","8268.35","8337.30"
"05 Aug 2022","8304.45","8326.40","8272.10","8286.25"
"04 Aug 2022","8311.70","8328.35","8168.20","8281.50"
"03 Aug 2022","8277.35","8291.50","8204.00","8274.00"
"02 Aug 2022","8249.05","8290.80","8212.65","8274.10"
"01 Aug 2022","8197.80","8263.00","8156.25","8256.70"
"29 Jul 2022","8112.85","8161.90","8094.05","8155.30"
"28 Jul 2022","7990.95","8053.75","7971.50","8046.95"
"27 Jul 2022","7862.55","7939.50","7844.40","7934.15"
"26 Jul 2022","7947.95","7948.95","7857.15","7867.55"
"25 Jul 2022","7961.20","7976.05","7916.45","7944.85"
"22 Jul 2022","7970.75","7989.45","7937.55","7976.50"
"21 Jul 2022","7886.35","7950.30","7868.90","7941.05"
"20 Jul 2022","7913.10","7918.65","7868.00","7881.40"
"19 Jul 2022","7747.95","7828.70","7747.85","7819.80"
"18 Jul 2022","7725.55","7786.35","7722.20","7781.45"
"15 Jul 2022","7657.40","7680.95","7620.75","7673.35"
"14 Jul 2022","7663.85","7678.25","7577.80","7625.10"
"13 Jul 2022","7704.35","7714.65","7632.50","7639.20"
"12 Jul 2022","7693.10","7717.50","7656.65","7668.55"
"11 Jul 2022","7662.30","7737.95","7653.50","7727.55"
"08 Jul 2022","7718.20","7718.75","7661.95","7693.35"
"07 Jul 2022","7641.30","7664.75","7614.75","7658.15"
"06 Jul 2022","7495.75","7591.30","7478.55","7582.60"
"05 Jul 2022","7529.15","7582.15","7477.25","7489.50"
"04 Jul 2022","7442.95","7500.95","7420.35","7494.95"
"01 Jul 2022","7418.40","7466.20","7339.20","7450.90"
"30 Jun 2022","7461.20","7506.25","7427.55","7446.90"
"29 Jun 2022","7420.20","7489.20","7414.70","7464.55"
"28 Jun 2022","7448.10","7502.70","7415.40","7489.90"
"27 Jun 2022","7511.70","7514.30","7471.55","7478.00"
"24 Jun 2022","7378.70","7416.95","7367.60","7409.25"
"23 Jun 2022","7274.40","7357.75","7240.80","7328.00"
"22 Jun 2022","7326.80","7331.60","7245.00","7255.25"
"21 Jun 2022","7249.75","7380.80","7237.55","7362.40"
"20 Jun 2022","7246.05","7259.05","7145.35","7198.40"
"17 Jun 2022","7238.60","7293.95","7177.45","7228.70"
"16 Jun 2022","7517.80","7528.50","7268.20","7281.70"
"15 Jun 2022","7463.55","7483.75","7438.30","7446.10"
"14 Jun 2022","7424.30","7516.10","7414.35","7449.55"
"13 Jun 2022","7525.55","7529.00","7432.40","7465.75"
"10 Jun 2022","7693.85","7713.50","7657.10","7670.10"
"09 Jun 2022","7689.85","7784.25","7674.95","7777.75"
"08 Jun 2022","7781.45","7803.00","7698.40","7728.25"
"07 Jun 2022","7779.55","7785.85","7727.05","7755.40"
"06 Jun 2022","7815.00","7835.70","7752.50","7820.65"
"03 Jun 2022","7948.10","7958.90","7827.20","7834.35"
"02 Jun 2022","7823.95","7891.65","7807.95","7885.35"
"01 Jun 2022","7861.40","7892.35","7795.00","7836.20"
"31 May 2022","7844.85","7906.60","7823.50","7853.80"
"30 May 2022","7798.10","7875.45","7791.05","7871.20"
"27 May 2022","7696.65","7721.70","7657.15","7714.75"
"26 May 2022","7592.65","7650.05","7474.40","7631.10"
"25 May 2022","7681.80","7691.00","7549.90","7557.15"
"24 May 2022","7713.30","7727.35","7629.20","7649.90"
